1274: 7ms
1275: 7ms
1276: 8ms
1277: 8ms
1278: 8ms
1279: 8ms
1280: 8ms
1281: 8ms
1282: 8ms
1283: 8ms
1284: 8ms
1285: 8ms
1286: 8ms
1287: 8ms
1288: 9ms
1289: 9ms
1290: 9ms
1291: 9ms
1292: 9ms
1293: 9ms
1294: 9ms
1295: 9ms
1296: 9ms
1297: 9ms
1298: 9ms
1299: 9ms
1300: 10ms
1301: 10ms
1302: 10ms
1303: 10ms
1304: 10ms
1305: 10ms
1306: 10ms
1307: 10ms
1308: 10ms
1309: 10ms
1310: 10ms
1311: 11ms
1312: 11ms
1313: 11ms
1314: 11ms
1315: 11ms
1316: 11ms
1317: 11ms
1318: 11ms
1319: 11ms
1320: 11ms
1321: 11ms
1322: 12ms
1323: 12ms
1324: 12ms
1325: 12ms
1326: 12ms
1327: 12ms
1328: 12ms
1329: 12ms
1330: 12ms
1331: 12ms
1332: 12ms
1333: 13ms
1334: 13ms
1335: 13ms
1336: 13ms
1337: 13ms
1338: 13ms
1339: 13ms
1340: 13ms
1341: 13ms
1342: 13ms
1343: 13ms
1344: 13ms
1345: 14ms
1346: 14ms
1347: 14ms
1348: 14ms
1349: 14ms
1350: 14ms
1351: 14ms
1352: 14ms
1353: 14ms
1354: 14ms
1355: 14ms
1356: 15ms
1357: 15ms
1358: 15ms
1359: 15ms
1360: 15ms
1361: 15ms
1362: 15ms
1363: 15ms
1364: 15ms
1365: 15ms
1366: 15ms
1367: 15ms
1368: 15ms
1369: 16ms
1370: 16ms
1371: 16ms
1372: 16ms
1373: 16ms
1374: 16ms
1375: 16ms
1376: 16ms
1377: 16ms
1378: 16ms
1379: 16ms
1380: 16ms
1381: 17ms
1382: 17ms
1383: 17ms
1384: 17ms
1385: 17ms
1386: 17ms
1387: 17ms
1388: 17ms
1389: 17ms
1390: 17ms
1391: 17ms
1392: 17ms
1393: 17ms
1394: 18ms
1395: 18ms
1396: 18ms
1397: 18ms
1398: 18ms
1399: 18ms
1400: 18ms
1401: 18ms
1402: 18ms
1403: 18ms
1404: 18ms
1405: 19ms
1406: 19ms
1407: 19ms
1408: 19ms
1409: 19ms
1410: 19ms
1472: 19ms
1473: 19ms
1474: 19ms
1475: 19ms
1476: 19ms
1477: 19ms
1478: 19ms
1479: 20ms
1480: 20ms
1481: 20ms
1482: 20ms
1483: 20ms
1484: 20ms
1485: 20ms
1486: 20ms
1487: 20ms
1488: 20ms
1489: 20ms
1490: 20ms
1491: 20ms
1492: 21ms
1493: 21ms
1494: 21ms
1495: 21ms
1496: 21ms
1497: 21ms
1498: 21ms
1499: 21ms
1500: 21ms
1501: 21ms
1502: 21ms
1503: 21ms
1504: 22ms
1505: 22ms
1506: 22ms
1507: 22ms
1508: 22ms
1509: 22ms
1510: 22ms
1511: 22ms
1512: 22ms
1513: 22ms
1605: 22ms
1606: 22ms
1607: 22ms
1608: 23ms
1609: 23ms
1610: 23ms
1611: 23ms
1612: 23ms
1613: 23ms
1614: 23ms
1615: 23ms
1616: 23ms
1617: 23ms
1618: 23ms
1619: 23ms
1620: 23ms
1621: 24ms
1622: 24ms
1623: 24ms
1624: 24ms
1625: 24ms
1626: 24ms
1627: 24ms
1628: 24ms
1629: 24ms
1630: 24ms
1631: 24ms
1632: 24ms
1633: 24ms
1634: 24ms
1635: 25ms
1636: 25ms
1637: 25ms
1638: 25ms
1639: 25ms
1640: 25ms
1641: 25ms
1642: 25ms
1643: 25ms
1644: 25ms
1645: 25ms
1646: 25ms
1747: 25ms
1748: 26ms
1749: 26ms
1750: 26ms
1751: 26ms
1752: 26ms
1753: 26ms
1754: 26ms
1755: 26ms
1756: 26ms
1757: 26ms
1758: 26ms
1759: 26ms
1760: 26ms
1761: 26ms
1762: 26ms
1763: 27ms
1764: 27ms
1765: 27ms
1766: 27ms
1767: 27ms
1768: 27ms
1769: 27ms
1770: 27ms
1771: 27ms
1772: 27ms
1773: 27ms
1774: 27ms
1775: 27ms
1776: 28ms
1777: 28ms
1778: 28ms
1779: 28ms
1780: 28ms
1781: 28ms
1782: 28ms
1783: 28ms
1784: 28ms
1785: 28ms
1786: 28ms
1787: 28ms
1788: 28ms
1801: 99ms
1802: 99ms
1803: 99ms
1804: 99ms
1805: 99ms
1806: 99ms
1807: 99ms
